created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-02-29T01:12:02Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Before You Go BSE,Reach end of book,2024-02-29T01:11:28Z,2024-02-29T01:12:02Z,KFX
2024-03-13T13:43:10Z,US,Not Available,Kindle for iOS,B08266PLCC,Before You Go BSE,Reach end of book,2024-03-13T13:42:52Z,2024-03-13T13:43:10Z,KFX
2024-03-16T01:24:32Z,US,Not Available,Kindle for iOS,B07XQK3SGQ,Before You Go BSE,Reach end of book,2024-03-16T01:24:30Z,2024-03-16T01:24:32Z,KFX
2024-03-29T21:37:30Z,US,Not Available,Kindle for iOS,B06XWR6BC3,About This Book BSE,Click on About This Book,2024-03-29T21:35:17Z,2024-03-29T21:37:30Z,KFX
2024-03-03T07:24:29Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Before You Go BSE,Reach end of book,2024-03-03T07:24:23Z,2024-03-03T07:24:29Z,KFX
2024-03-03T07:27:01Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go BSE,Reach end of book,2024-03-03T07:26:56Z,2024-03-03T07:27:01Z,KFX
2024-03-14T00:08:19Z,US,Not Available,Kindle for iOS,B08266SRVP,Before You Go BSE,Reach end of book,2024-03-14T00:08:16Z,2024-03-14T00:08:19Z,KFX
2024-03-16T08:52:30Z,US,Not Available,Kindle for iOS,B017S3J3X6,Before You Go BSE,Reach end of book,2024-03-16T08:52:01Z,2024-03-16T08:52:30Z,KFX
2024-03-03T07:26:49Z,US,Not Available,Kindle for iOS,B08Y6DCS1Y,Before You Go BSE,Reach end of book,2024-03-03T07:26:42Z,2024-03-03T07:26:49Z,KFX
2024-03-04T09:17:55Z,US,Not Available,Kindle for iOS,B01N7GREG9,Before You Go BSE,Reach end of book,2024-03-04T09:17:52Z,2024-03-04T09:17:55Z,KFX
2024-03-18T21:27:46Z,US,Not Available,Kindle for iOS,B00846REIS,Before You Go BSE,Reach end of book,2024-03-18T21:27:38Z,2024-03-18T21:27:46Z,KFX
2024-03-03T07:25:59Z,US,Not Available,Kindle for iOS,B0BDW83LGQ,Before You Go BSE,Reach end of book,2024-03-03T07:25:53Z,2024-03-03T07:25:59Z,KFX
2024-02-29T01:02:51Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Before You Go BSE,Reach end of book,2024-02-29T01:02:49Z,2024-02-29T01:02:51Z,KFX
2024-03-17T20:20:16Z,US,Not Available,Kindle for iOS,B0757CRTLY,Before You Go BSE,Reach end of book,2024-03-17T20:19:13Z,2024-03-17T20:20:16Z,KFX
2024-04-04T21:47:38Z,US,Not Available,Kindle for iOS,B01M98D4TM,About This Book BSE,Click on About This Book,2024-04-04T21:46:14Z,2024-04-04T21:47:38Z,KFX
2024-03-27T11:10:12Z,US,Not Available,Kindle for iOS,B08X472VK3,Before You Go BSE,Reach end of book,2024-03-27T11:10:00Z,2024-03-27T11:10:12Z,KFX
2024-04-09T18:41:05Z,US,Not Available,Kindle for iOS,B00O6V45E6,Before You Go BSE,Reach end of book,2024-04-09T18:40:58Z,2024-04-09T18:41:05Z,KFX
2024-03-16T01:03:50Z,US,Not Available,Kindle for iOS,B07XQK3SGQ,Before You Go BSE,Reach end of book,2024-03-16T01:03:41Z,2024-03-16T01:03:50Z,KFX
2024-02-25T23:33:36Z,US,Not Available,Kindle for iOS,B0B232HFC9,Before You Go BSE,Reach end of book,2024-02-25T23:33:26Z,2024-02-25T23:33:36Z,KFX
2024-03-18T03:02:49Z,US,Not Available,Kindle for iOS,B0CLT4QRQL,Before You Go BSE,Reach end of book,2024-03-18T03:02:35Z,2024-03-18T03:02:49Z,KFX
