Created Timestamp,Marketplace ID,Country,Device Family,ASIN,Context,Action,Reading Mode,Duration,Audio Type
2024-03-25T17:25:07Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-14T11:11:45Z,US,,Kindle for iOS,B0CL7L1Y9X,Inbook Mini Player,Pause,Vertical Scroll View,0,Audible
2024-03-12T06:29:21Z,US,,Kindle for iOS,B0CL7L1Y9X,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T23:18:18Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Pause,Vertical Scroll View,11,Audible
2024-03-21T17:56:07Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Pause,Vertical Scroll View,876,Audible
2024-03-26T12:12:02Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Pause,Vertical Scroll View,30,Audible
2024-03-20T06:26:06Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Full Player,Time Option Selected,Vertical Scroll View,0,Audible
2024-03-22T22:12:31Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-01T15:34:02Z,US,,Kindle for iOS,B0994RZ2L1,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-20T22:49:18Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T12:44:40Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Pause,Vertical Scroll View,69,Audible
2024-03-27T02:31:06Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Pause,Vertical Scroll View,838,Audible
2024-03-26T00:40:50Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-20T21:11:10Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Pause,Vertical Scroll View,1022,Audible
2024-03-23T00:02:05Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T23:04:34Z,US,,Kindle for iOS,,Out of App,Play,Paginated View,0,Audible
2024-03-27T13:32:56Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Full Player,Play,Vertical Scroll View,0,Audible
2024-03-21T08:23:15Z,US,,Kindle for iOS,B0183KJZE0,Inbook Full Player,Time Option Selected,Vertical Scroll View,0,Audible
2024-03-27T13:12:39Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
2024-03-20T06:24:05Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Tap to Download,Vertical Scroll View,0,Audible
2024-03-21T02:53:16Z,US,,Kindle for iOS,B0183KJZE0,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
2024-03-19T11:58:40Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Pause,Vertical Scroll View,2081,Audible
2024-03-19T22:04:52Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Pause,Vertical Scroll View,1230,Audible
2024-03-19T14:14:45Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-25T17:24:17Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Pause,Vertical Scroll View,999,Audible
2024-03-27T18:33:02Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T12:53:20Z,US,,Kindle for iOS,B0183KJZE0,Out of App,Pause,Vertical Scroll View,278,Audible
