"Product Name","ASIN","Author ID"
"House of Earth and Blood (Crescent City Book 1)","B07QBC8QTP","B0070291GK"
"House of Flame and Shadow (Crescent City)","B0BY9M2C4X","B0070291GK"
"Tower of Dawn","B0759XMXLV","B0070291GK"
"Empire of Storms","B01KIQV5EU","B0070291GK"
"Cruel Winter with You: Under the Mistletoe Collection","B0DKK242GB","B08ZYW66XW"
"Merry Ever After: Under the Mistletoe Collection","B0DKK3382L","B00BKMOZYO"
"Merriment and Mayhem: Under the Mistletoe Collection","B0DKK47K33","B08C7Z297M"
"Only Santas in the Building: Under the Mistletoe Collection","B0DKK2X9ZX","B074GGM62S"
"All by My Elf: Under the Mistletoe Collection","B0DKK2KLKW","B00WIYMK9U"
"Cruel Winter with You (Under the Mistletoe collection)","B0D9KNVB11","B08ZYW66XW"
"Merry Ever After (Under the Mistletoe collection)","B0D9KL14L4","B00BKMOZYO"
"All by My Elf (Under the Mistletoe collection)","B0D9KJMVRB","B00WIYMK9U"
"Merriment and Mayhem (Under the Mistletoe collection)","B0DH8KCRSL","B08C7Z297M"
